id,match_type,similarity,similarity_offset,vec_sim,hybrid_sim,levenshtein,stoilos,fuzzy_score,metriclcs,tfidf_cosine,dice,monge_elkan,parent_overlap,children_overlap,avg_context_overlap,prefix_overlap,suffix_overlap,context_string_overlap,context_string_overlap_offset,has_parents,has_children,depth_difference,class
101-Misc-301-Misc,Type1,1,0.7161,1,1,1,1,1,1,1,1,1,0.2582,0,0.4194,1.0,1.0,0.2582,0,both,none,0.0,Y
101-Journal-301-Article,Type1,0.4581,0.0367,0.4581,0.4581,0,0,0.0526,0.2857,0,0,0.1429,0,0,0,0.0,0.0,0,0,one,none,0.0,N
101-Conference-301-Conference,Type1,1,0.7982,1,1,1,1,1,1,1,1,1,0,0,0,1.0,1.0,0,0,one,none,0.0,N
101-Proceedings-301-Proceedings,Type1,1,0.7982,1,1,1,1,1,1,1,1,1,0.1235,0,0.2064,1.0,1.0,0.1235,0,both,none,0.0,Y
101-Report-301-TechReport,Type1,0.875,0.3902,0.5337,0.5337,0.5455,0.875,0.0323,0.5455,0.7071,0.6154,0.7906,0.2582,0,0.4194,0.0,1.0,0.1364,0,both,one,0.33333333333333337,N
101-Manual-301-Manual,Type1,1,0.6587,1,1,1,1,1,1,1,1,1,0.126,0,0.3753,1.0,1.0,0.126,0,both,none,0.0,Y
101-TechReport-301-TechReport,Type1,1,0.7256,1,1,1,1,1,1,0.9943,1,1,0.1522,0,0.0798,1.0,1.0,0.1522,0,both,none,0.0,Y
101-Chapter-301-Book,Type1,0.4166,0.1456,0.4166,0.4166,0,0,0,0,0,0,0,0.1202,0,0.3734,0.0,0.0,0.1202,0,both,none,0.0,N
101-Unpublished-301-Unpublished,Type1,1,0.6053,1,1,1,1,1,1,1,1,1,0.126,0,0.3753,1.0,1.0,0.126,0,both,none,0.0,Y
101-Article-301-Article,Type1,1,0.6302,1,1,1,1,1,1,1,1,1,0.1202,0,0.2239,1.0,1.0,0.1202,0,both,none,0.0,Y
101-Booklet-301-Booklet,Type1,1,0.0818,1,1,1,1,1,1,1,1,1,0.126,0,0.3753,1.0,1.0,0.126,0,both,none,0.0,Y
101-Monograph-301-Book,Type1,0.4956,0.0863,0.4956,0.4956,0.2222,0,0,0.2222,0,0,0.375,0.1235,0,0.3745,0.0,0.0,0.1235,0,both,none,0.0,Y
101-InProceedings-301-Proceedings,Type1,0.9583,0.7782,0.5516,0.5516,0.7857,0.9583,0.775,0.7857,0.7583,0.8571,1,0.1202,0,0.3734,0.0,1.0,0.1202,0,both,none,0.0,N
101-Book-301-Book,Type1,1,0.0818,1,1,1,1,1,1,1,1,1,0.2582,0,0.4194,1.0,1.0,0.0981,0,both,one,0.33333333333333337,Y
101-InBook-301-Book,Type1,0.9,0.1766,0.5289,0.5289,0.5714,0.9,0.5263,0.5714,0.7583,0.5714,0.7071,0.1202,0,0.3734,0.0,1.0,0.1202,0,both,none,0.0,N
101-Publisher-301-Unpublished,Type2,0.8796,0.8296,0.2853,0.2853,0.7273,0.8796,0.0323,0.7273,0,0.75,0.8889,0.0351,0,0.0408,0.0,0.0,0.0351,0,both,none,0.0,N
101-PhdThesis-301-Phdthesis,Type2,1,0.3296,0,0,0.9,1,0.8214,0.9,0,0.6667,1,0.036,0,0.0899,0.3333333333333333,0.6666666666666666,0.036,0,both,none,0.0,Y
101-Collection-301-Incollection,Type2,0.9545,0.8545,0,0,0.8333,0.9545,0.0588,0.8333,0,0.8889,1,0.1235,0,0.3745,0.0,1.0,0.1235,0,both,none,0.0,N
101-MastersThesis-301-Mastersthesis,Type2,1,0.3296,0,0,0.9286,1,0.875,0.9286,0,0.7826,1,0.036,0,0.0991,0.5384615384615384,0.46153846153846156,0.036,0,both,none,0.0,Y
101-InProceedings-301-Inproceedings,Type2,1,0.0417,0,0,0.9286,1,0.875,0.9286,0,0.7826,1,0.1202,0,0.3734,0.15384615384615385,0.8461538461538461,0.1202,0,both,none,0.0,Y
101-InBook-301-Inbook,Type2,1,0.1,0,0,0.8571,1,0.7368,0.8571,0,0.4444,1,0.1202,0,0.3734,0.3333333333333333,0.6666666666666666,0.1202,0,both,none,0.0,Y
101-InCollection-301-Incollection,Type2,1,0.9,0,0,0.9231,1,0.8649,0.9231,0,0.7619,1,0.1202,0,0.3734,0.16666666666666666,0.8333333333333334,0.1202,0,both,none,0.0,Y
101-Part-301-Entry,Type4,0.5,0.3709,0.1202,0.1202,0.2,0,0,0.2,0,0,0.25,0,1,0.3333,0.0,0.0,0.3424,0.2163,one,both,0.16666666666666663,Y
101-Report-301-Entry,Type4,0.5,0.2249,0.1522,0.1522,0.3333,0,0.0625,0.3333,0,0,0.2,0,1,0.3333,0.0,0.0,0.2572,0.1208,one,both,0.16666666666666663,Y
101-Informal-301-Entry,Type4,0.5,0.3709,0.126,0.126,0.25,0,0,0.25,0,0,0.2,0,1,0.3333,0.0,0.0,0.3309,0.2182,one,both,0.16666666666666663,Y
101-Book-301-Entry,Type4,0.5,-0.4182,0.1235,0.1235,0,0,0,0,0,0,0,0,1,0.3333,0.0,0.0,0.234,0.1358,one,both,0.16666666666666663,N
